,name,sku,price
170,"Porsche Oil Pressure Switch, 356, 911, 912",901-613-571-01,6.99
171,"Porsche Oil Pump Gear Drive, Upper, Late Large Oil Pump, 356B, 356C,912",616-107-016-00,379.99
172,"Porsche Oil Sump Gasket, 356A, 356B, 356C & 912",539-011-52,2.15
173,"Porsche Solex 32 PBIC Carburetor Repair Kit, 356A, 356B, 356C",900-070-19-00,24.99
174,"Porsche Spark Plug Connector, Bosch, 90 Degree, W/Coil Wire",356-250-019,12.99
175,"Porsche Spark Plug Wire Connector 90 Degree, Coil w/o Post, All 356, 912, 914",036-035-281,9.99
176,"Porsche Spark Plug Wire Set BERU, New, All 356's & 912",616-609-052-10,29.99
177,"Porsche Transmission Pinion Bearing, Front, 356A, 356B, 356C",900-053-003-00,56.55
178,"Porsche Transmission Pinion Bearing, Rear, 356, 911, 912",915-302-399-06,299.99
179,"Porsche Valve Cover Gasket, REINZ, German, 356 & 912",616-104-951-00,2.99
180,"Porsche Zenith 32 NDIX Carburetor Kit, 356A, 356B, 356C",616-108-902-00,62.99
181,"Retaining Spring, German, Clutch Release Bearing, Pre-A & 356A up to '59 ",716-116-831-00,4.99
182,"SACHS Pressure Plate, Sprung Drive Disc, W/Release Bearing & springs, 180mm, Porsche Pre-A & 356A ",502-16-014KIT,299.99
183,"Spark Plug Bosch German,W6B,356A.356B,356C,912",W6B-BoschPlug,9.99
184,"Starter Motor, Bosch Rebuilt , 6 Volt, Porsche 356A, 356B",616-604-102-00,419.99
185,"Starter, 356,  356A & 356BT5 up to 1962 Bosch Original Rebuilt",616-604-101-00,419.99
186,"Tachometer Drive Cable, O.E. Braided Steel W/Foam Insulation,Gemo German,All 356",644-741-311-01,49.99
187,"Transmission Mount,Pair,Dual Mount,Porsche 356A,356B,356C",519-200-99,199.99
188,"Clutch 'Sprung Driver' Disc, Pre-A &  356A, SACHS Euro, 180mm",502-16-013,109.99
189,"Bosch Coil, 6 Volt",616-602-108-00,79.99
190,"Voltage Regulator,12 volt Porsche 356A,  356B, 356C, O.E. Specs.",616-603-202-01,189.99
191,"Dowelpin, Main Bearing, Porsche 356A/B",539-01-110,5.99
192,"Battery Ground  Woven Cable,356 Pre-A & 356BT5,340mm,4 Gauge",644-612-301-00,13.99
193,"Battery,Interstate 356A, 356B, 356C 6 volt Battery",6volt-Battery-19L,204.99
194,"Bosch Distributor Cap, O.E. number 03019",3019,19.99
195,Bosch Ignition Rotor,04008_Rotor,24.99
196,"Brake Light Switch,2 Pole,FTE German,Porsche 911",113945515H,16.99
197,"Ceramic Fuse, 16 Amp, German Made, Porsche 356, 911, 912, 914",900-173-004-90,0.25
198,"Ceramic Fuse, 25Amp, German Made, Porsche 356, 911, 912, 914",999-607-005-00,0.35
199,"Ceramic Fuse, 5 Amp, German  Made, Porsche 356, 911, 912, 914",900-173-001-90,0.50
200,"Ceramic Fuse, 8 Amp, German Made, Porsche 356, 911, 912, 914",900-173-002-90,0.35
201,"Distributor Point,  Bremi, Cast Iron Distributors, All 356",616-602-226-01,9.99
202,"Distributor Point, NOS,  Bosch ,  Porsche 356 ' 60 - ' 65",616-602-226-02,14.99
203,"Festoon Bulb 6 Volt / 5 Watt,Interior Light,German,Porsche 356A, 356B ",900-631-005-90,1.75
204,"Festoon Interior Light Bulb, 6Volt- 15Watt, German ",900-631-006-90,2.35
205,"Festoon Light Bulb 12Volt-5Watt,  35mm ,Interior Light,German, 356, 911,",N-017-725-2,1.75
206,"Festoon Light Bulb 12Volt-5Watt,Interior Light,German, 356, 911,",900-631-105-90,1.75
207,"Fog Lamp Light Bulb,German 6V/35W,Porsche 356B & 356C",900-631-012-90,8.99
208,"Foot Pump Windshield Washer, 356A, 356B, 356C",644-628-073-06,29.99
209,"Fuse Inline holder,W/ 8Amp Fuse, German, Porsche 356,911,912 ",644-612-813-01,4.99
210,"H4 Headlight Bulb,12 Volt- 100/90W,German,Porsche 356A, 356B, 356C ",900-631-219-90,9.99
211,"Headlight Beam, H4 Halogen,356B/C, 911, 912, 914, '65-'76",644-631-106-30,24.99
212,"Headlight Bulb Euro Headlights,12 Volt  45/40W,German,Porsche 356A & 356B ",900-631-109-90,7.99
213,"Headlight Bulb Euro Headlights,6 Volt  45/40W,German,Porsche 356A & 356B ",900-631-009-90,7.99
214,"License & Tail Lamp Light Bulb,12 V- 5W,German,Porsche 356B &  356C",900-631-104-90,2.45
215,"License Plate Light Bulb 12 Volt- 15W, Porsche 356A, 356B, 356C ",900-631-010-90,1.75
216,"Light Bulb 12 Volt/ 2 Watt,German,Porsche 356A, 356B,356C",695-631-019-90,2.50
217,"Light Bulb 12 Volt/18W,Porsche 356 Turn Signals & Stop Light,German",900-631-107-90,3.35
218,"Light Bulb 12 Volt/21W,Porsche 356 Turn Signals & Stop Light,BA15s,German",900-631-177-90,1.99
219,"Light Bulb 12Volt- 25W, German, Back Up Light, Porsche 356A, 356B, 356C",999-631-038-90,1.75
220,"Light Bulb 6V- 21W, German Porsche 356, Stop & Turn Signal ",900-631-011-90,1.51
221,"Light Bulb 6V-0,6 Watt Instrument Dash Bulb,Porsche 356,German",900-631-001-90,3.95
222,"Light Bulb 6V/1.2W Instrument Dash Bulb,Porsche 356,German",900-631-002-90,2.25
223,"Light Bulb License-Tail light & Back Up, 6V- 10 W,Porsche 356A,German",900-631-014-90,1.99
224,"Light Bulb, Amber 6 Volt/ 21W, Turn Signal Bulb, Porsche 356A/B",900-631-121-90,2.89
225,"Light Bulb, Amber, 12Volt- 21W, Turn Signal Bulb, Porsche 911 '98-'08",900-631-021-90,2.80
226,"Light Bulb, Halogen H1, 12Volt- 100 Watt, Porsche 356, 911, 912, 914",900-631-500-90,7.99
227,"Light Bulb, Halogen H1, 12Volt- 55 Watt, Porsche 356, 911, 912, 914",900-631-125-90,6.99
228,"Light Bulb,12 Volt-4Watt,German,Porsche 356B & 356C ",900-631-103-90,1.39
229,"Light Bulb,12V/21W,German,Porsche 356,911,912,BA15s",900-631-127-90,1.45
230,"Light Bulb,6V/4W,German,Porsche 356B & 356C Front Parking Lights",900-631-003-90,1.39
231,"Porsche 356A & 356B Voltage Regulator, New, 6 volt,356 Specs",616-603-203-00,189.99
232,"Porsche 356A & Speedster Turn Signal Switch, -'59",356-62-027,199.99
233,"Porsche 914 Heater Control Box, Dansk OEM Quality, 914 '70-'76, Right Side",022-256-206B,99.99
234,"Porsche Generator 356A, 356B, 356C, Bosch Rebuilt, 6 volt",616-603-102-AX,419.99
235,"Porsche Headlight Assembly 356A, 356B, 356C  W/Clear Glass, New",644-62-014,64.99
236,"Porsche Headlight High/Low Beam, 7"" E4 Approved, Hella Made In Germany, Headlight H4 Conversion",644-631-101-31,49.99
237,"Porsche Horn Contact Button, 356, 911, 914",914-347-831-00,26.99
238,"Porsche Ignition Switch, Bosch, 356A, 356B, 356C",644-613-101-06,139.99
239,"Porsche Spark Plug Wire Set BERU, New, All 356's & 912",616-609-052-10,29.99
240,"Seal Tear Drop Tail Light Assembly,356A,356B,356C",644-631-491-01,9.99
241,"Sealed Beam, Wagner Halogen, 12 Volt, H6024, 60/40Watt,356,911,914",999-631-108-90,18.99
242,"Sealed Headlight Beam,  6Volt, Porsche 356A, 356B, 356C",644-631-105-30,23.99
243,"Side Marker Light Bulb 6 Volt/ 2 Watt,German,Porsche 356 ",644-631-019-90,2.65
244,"Speedometer Cable,Gemo German,356A,356B,356C",644-741-111-00,25.99
245,"Speedster & 356A Horn Brush Assembly Kit,German Qlty,356's -'59",644-347-732-00,74.99
246,"Tail Lamp & License Bulb,6Volt/5Watt,German,Porsche 356A,356B",900-631-004-90,2.25
247,"Tail Light Assembly Set,Euro,Amber/Red,Set,All 356",644-631-434-10EU,99.99
248,"Tail Light Lens,Amber/Red Euro,Left,356A,356B,356C",644-631-421-10,16.99
249,"Tail Light Lens,Amber/Red,Euro,Right,356A,356B,356C",644-631-422-10,16.99
250,"Tail Light Lens,Teardrop Red,Left,356A,356B,356C",644-631-421-00,10.99
251,"Tail Light Lens,Teardrop Red,Right,356A,356B,356C",644-631-422-00,10.99
252,"Turn Signal Lamp Light Bulb 6 Volt-21/5W ,Porsche 356A,356B,German ",999-631-127-90,1.75
253,"Turn Signals & Stop Light Light Bulb 6  Volt/18W,Porsche 356A,356B ,German",900-631-007-90,2.59
254,"U.S. Teardrop Tail Light Assembly, Red, Set, Porsche 356AT2,356B,356C",644-631-403-04-00,99.99
255,"Windshield Washer Hose,3000mm, 356A, 356B, 356C ",644-628-901-10,19.99
256,"Tail Light Assembly,Teardrop,Amber/Red,U.S.,All 356",644-631-434-10US,79.99
257,"Bosch Coil, 6 Volt",616-602-108-00,79.99
258,"Voltage Regulator,12 volt Porsche 356A,  356B, 356C, O.E. Specs.",616-603-202-01,189.99
259,"Barrel Bolt & Nut Complete, 'Large Hex Head', Complete ",644-211-755-00,11.99
260,"Barrel Bolt & Nut Complete, 'Small Nubhead', Complete ",644-211-755-01,11.99
261,"Barrel Nut Kit, Heater Cable,6 Piece Kit, Porsche 356, 356A, 356B, 356C ",644-211-755-06,55.99
262,"Butterfly Lever & Barrel Screw and Nut Kit, Porsche 356A, 356B, 356C ",644-211-760-65,79.99
263,"Butterfly Lever, Heater Flap Box Control Unit, Each, Pre-A, 356A, 356B, 356C ",644-211-760-01,24.99
264,"Butterfly Lever, Heater Flap Box Control Unit, Pair, 356A, 356B, 356C ",644-211-760-00,54.99
265,"Exhaust Muffler ,Porsche 356A '55-'59, OEM Dansk",616-111-010-00,447.99
266,"Exhaust Muffler, Porsche 356A,356B,356C, Straight  Dual Tail Pipes",616-54-103OE,599.99
267,"Exhaust Muffler,Dansk,Stainless Steel, Porsche 356B, 356C, 912 '65-'70",616-111-010-05SS,"1,039.99"
268,"Exhaust, 356B & 356C Sport W/Straight Tail Pipes in Carrera style,Deep sporty sound",616-54-103,649.99
269,"Heat Exchanger Porsche 356A ,356B,356C Dansk, for USA Heat Exchangers,Left Side",644-211-003-00,378.99
270,"Heat Exchanger Porsche 356A ,356B,356C Dansk, for USA Heat Exchangers,Right Side",644-211-004-00,378.99
271,"Heater Hose, Porsche 356A, 356B & 356C , Pair, 3 Ply, German",644-211-921-05,19.99
272,"Porsche 356A Heater Control Box, Dansk, 356A '55-'59, Left Side",644-211-021-00,174.99
273,"Porsche 356A Heater Control Box, Dansk, 356A '55-'59, Right Side",644-211-022-00,174.99
274,"Porsche 356B & 356C Tail Pipe Kit With Clamps, Dansk",616-111-006-60,140.99
275,"Porsche Heat Exchanger Gasket, Made In Germany, 356A,356B,356C,911,912",616-111-291-00,3.99
276,"Porsche Heater Exchange J-Tube Primered, 356A, 356B, 356C, Left Side",Heater-JTube-L,99.99
277,"Porsche Heater Exchange J-Tube Primered, 356A, 356B, 356C, Right Side",Heater-JTube-R,99.99
278,"Tail Pipe Kit With Clamps,Porsche 356A '50-'59",616-111-005-00,189.99
279,"Heater Cable Rubber Boot, German, All 356A, 356B, 356C",356-24-408,2.99
